feedback_id,date,region,product,rating,theme,comment
F001,2025-01-08,North,Widget A,5,Quality,"Excellent build quality. Best we've used."
F002,2025-01-12,East,Widget A,2,Delivery,"Ordered Jan 2, still haven't received. Very disappointed."
F003,2025-01-15,South,Widget B,4,Design,"Love the new packaging. Product itself is solid."
F004,2025-01-20,West,Widget A,5,Sales,"Amara gave us an amazing demo. Sold immediately."
F005,2025-01-25,East,Widget A,1,Quality,"Received defective unit. Third time this quarter."
F006,2025-02-01,North,Widget B,3,Pricing,"Good product but MegaWidget is 30% cheaper now."
F007,2025-02-05,South,Widget B,5,Support,"Support team resolved our issue same day. Impressed."
F008,2025-02-10,West,Widget B,4,Quality,"Reliable product. Minor cosmetic issue but works great."
F009,2025-02-15,East,Widget A,2,Delivery,"Another delayed shipment. Considering switching vendors."
F010,2025-02-20,North,Widget A,4,Quality,"Consistent quality. Been buying for 2 years."
F011,2025-03-01,West,Widget A,5,Sales,"Best sales team in the industry."
F012,2025-03-05,South,Widget B,4,Design,"Colleagues commented on the professional packaging."
F013,2025-03-10,East,Widget B,3,Delivery,"Delivery was late but product is fine."
F014,2025-03-15,North,Widget B,2,Pricing,"Switching to MegaWidget next quarter unless pricing changes."
F015,2025-03-20,West,Widget A,5,Quality,"Zero defects across 200+ units ordered this quarter."
